,TeamA,TeamB,Stadium,Match_Day,Match_Time,Match_Date,TeamA_Position,TeamB_Position,Attendance,TeamA_goals,TeamB_goals
0,Al-Hilal Saudi FC,Al-Wehda FC,King Fahd International Stadium,1,  7:45 PM, 8/19/15,2,14,16883,2,0
0,Al-Khaleej,Al-Fateh,Prince Saud bin Jalawi Stadium,1,  5:55 PM, 8/20/15,13,3,315,0,2
0,Najran SC,Al-Ittihad Club (Jeddah),King Abdul Aziz Stadium,1,  8:15 PM, 8/20/15,10,4,4721,1,2
0,Al-Taawoun FC,Al-Ahli Saudi FC,King Abdullah Sport City Stadium,1,  6:15 PM, 8/21/15,8,6,2953,0,0
0,Al-Nassr Riad,Hajer Club,King Fahd International Stadium,1,  8:15 PM, 8/21/15,7,9,6173,0,0
0,Al-Qadsiah FC,Al-Faisaly FC,Prince Saud bin Jalawi Stadium,1,  5:55 PM, 8/22/15,5,11,182,1,0
0,Al-Shabab Club (Riyadh),Al-Raed,Prince Faisal bin Fahad Stadium,1,  8:00 PM, 8/22/15,1,12,895,3,1
0,Al-Khaleej,Al-Ahli Saudi FC,Prince Mohamed bin Fahd Stadium,2,  5:45 PM, 8/27/15,14,4,3127,0,4
0,Al-Raed,Al-Ittihad Club (Jeddah),King Abdullah Sport City Stadium,2,  8:00 PM, 8/27/15,13,3,5401,0,2
0,Hajer Club,Al-Shabab Club (Riyadh),Prince Abdullah bin Jalawi Stadium,2,  5:45 PM, 8/28/15,10,1,684,1,2
0,Al-Qadsiah FC,Al-Nassr Riad,Prince Saud bin Jalawi Stadium,2,  5:45 PM, 8/28/15,5,8,8023,2,2
0,Al-Faisaly FC,Al-Taawoun FC,Al Majma'ah Sports City Stadium,2,  8:00 PM, 8/28/15,12,6,232,1,2
0,Al-Fateh,Al-Hilal Saudi FC,Prince Abdullah bin Jalawi Stadium,2,  5:45 PM, 8/29/15,7,2,11688,1,2
0,Al-Wehda FC,Najran SC,King Abdul Aziz Stadium,2,  8:00 PM, 8/29/15,11,9,685,1,1
0,Al-Shabab Club (Riyadh),Al-Khaleej,King Fahd International Stadium,3,  7:15 PM, 9/17/15,4,13,896,0,0
0,Al-Taawoun FC,Al-Qadsiah FC,King Abdullah Sport City Stadium,3,  5:45 PM, 9/18/15,3,8,3899,5,1
0,Al-Ahli Saudi FC,Al-Wehda FC,King Abdullah Sports City,3,  8:00 PM, 9/18/15,2,12,29049,2,0
0,Al-Nassr Riad,Najran SC,King Fahd International Stadium,3,  8:00 PM, 9/18/15,6,11,8764,2,0
0,Al-Fateh,Hajer Club,Prince Abdullah bin Jalawi Stadium,3,  5:20 PM, 9/19/15,7,10,3218,1,1
0,Al-Ittihad Club (Jeddah),Al-Faisaly FC,King Abdullah Sports City,3,  8:00 PM, 9/19/15,5,9,30482,1,2
0,Al-Hilal Saudi FC,Al-Raed,King Fahd International Stadium,3,  5:35 PM, 9/20/15,1,14,,1,0
0,Hajer Club,Al-Khaleej,Prince Abdullah bin Jalawi Stadium,4,  4:50 PM, 10/16/15,11,10,320,1,2
0,Al-Raed,Al-Fateh,King Abdullah Sport City Stadium,4,  5:15 PM, 10/16/15,14,6,3187,0,0
0,Al-Wehda FC,Al-Faisaly FC,King Abdul Aziz Stadium,4,  7:00 PM, 10/16/15,12,8,486,2,2
0,Al-Qadsiah FC,Al-Ittihad Club (Jeddah),Prince Saud bin Jalawi Stadium,4,  4:50 PM, 10/17/15,9,4,6582,1,3
0,Najran SC,Al-Shabab Club (Riyadh),King Abdul Aziz Stadium,4,  7:30 PM, 10/17/15,13,3,443,0,1
0,Al-Ahli Saudi FC,Al-Nassr Riad,King Abdullah Sports City,4,  7:30 PM, 10/18/15,2,7,32453,4,2
0,Al-Hilal Saudi FC,Al-Taawoun FC,Prince Faisal bin Fahad Stadium,4,  6:00 PM, 10/25/15,1,5,10230,3,1
0,Al-Qadsiah FC,Al-Raed,Prince Saud bin Jalawi Stadium,5,  3:40 PM, 10/29/15,9,12,200,1,1
0,Al-Khaleej,Al-Taawoun FC,Prince Mohamed bin Fahd Stadium,5,  3:40 PM, 10/29/15,10,5,268,1,1
0,Al-Faisaly FC,Hajer Club,Al Majma'ah Sports City Stadium,5,  4:00 PM, 10/29/15,7,11,161,3,1
0,Al-Wehda FC,Al-Nassr Riad,King Abdul Aziz Stadium,5,  6:15 PM, 10/29/15,13,6,6173,0,2
0,Al-Fateh,Al-Shabab Club (Riyadh),Prince Abdullah bin Jalawi Stadium,5,  3:40 PM, 10/30/15,8,4,1312,0,0
0,Najran SC,Al-Ahli Saudi FC,King Abdul Aziz Stadium,5,  6:15 PM, 10/30/15,14,1,2635,0,1
