,TeamA,TeamB,Stadium,Round,TeamA_Position,TeamB_Position,Attendance,TeamA_win_sum,TeamA_loss_sum,sum_goals_A,TeamA_draw_sum,TeamB_win_sum,TeamB_loss_sum,sum_goals_B,TeamB_draw_sum,Match_hour,Match_minute,Match_month,Match_day,Match_year,Match_day_name,Match_date_hijri_day,Match_date_hijri_month,feelslike,feelslikemax,feelslikemin,temp max:,temp min:,humidity:,precip:,preciptype:,visibility:,solarradiation:,solarenergy:,uvindex:,windspeed:,conditions:,description:
1,Al-Hilal Saudi FC,Al-Fayha FC,King Fahd International Stadium,1,4,11,9765,0,0,0,0,0,0,0,0,8,55,8,10,2017,Thursday,18,11,35.8,46,26,46,27,8.1,0,,10,324.3,28,10,22.3,Clear,Clear conditions throughout the day.
24,Al-Nassr Riad,Al-Fayha FC,Prince Faisal bin Fahad Stadium,4,7,13,3014,0,0,2,1,0,1,1,0,7,20,9,22,2017,Friday,2,1,30.1,35.9,23.9,39,23.9,10.9,0,,9.7,293.2,25.2,10,27.7,Clear,Clear conditions throughout the day.
39,Al-Faisaly FC,Al-Fayha FC,Al Majma'ah Sports City Stadium,6,4,11,2316,2,1,6,0,0,1,3,1,7,0,10,14,2017,Saturday,24,1,27.5,34.4,20.2,37.5,20.2,14.1,0,,,260.7,22.3,9,18,Clear,Clear conditions throughout the day.
42,Al-Qadsiah FC,Al-Fayha FC,Prince Saud bin Jalawi Stadium,7,9,11,741,1,0,3,1,0,2,4,1,4,50,10,19,2017,Thursday,29,1,30.3,36.8,17.6,37.8,17.6,55.9,0,,9.9,232.9,20.2,8,27.3,Clear,Clear conditions throughout the day.
57,Al-Ahli Saudi FC,Al-Fayha FC,King Abdullah Sports City,9,2,12,9774,3,0,13,1,0,2,5,2,5,45,10,31,2017,Tuesday,11,2,33.7,38.4,29.2,33.9,27,63.7,0,,10,225.5,19.5,8,22.1,Clear,Clear conditions throughout the day.
77,Al-Raed,Al-Fayha FC,King Abdullah Sport City Stadium,12,14,13,1936,0,3,8,3,0,2,6,3,3,50,11,29,2017,Wednesday,11,3,20.6,28.9,15,28,15,81,0,,7.4,165.5,14.5,6,20.5,Partially cloudy,Partly cloudy throughout the day.
104,Al-Ittihad Club (Jeddah),Al-Fayha FC,King Abdullah Sports City,15,5,8,13236,1,1,7,4,0,3,6,3,5,45,12,24,2017,Sunday,6,4,27,32,21,32.8,21,53.3,0,,9.6,202.8,17.4,7,27.7,Clear,Clear conditions throughout the day.
109,Al-Taawoun FC,Al-Fayha FC,King Abdullah Sport City Stadium,16,7,9,4740,3,1,10,2,1,3,7,3,1,20,12,29,2017,Friday,11,4,15.3,25,7,25,7,53.5,0,,9.9,186,16,7,14.8,Clear,Clear conditions throughout the day.
122,Ohod Al-Medina,Al-Fayha FC,Prince Mohammed bin Abdul Aziz Stadium,18,13,6,3336,2,4,10,3,1,4,7,3,5,10,3,6,2018,Tuesday,18,6,25.8,29.8,20,32,20,22.5,0,,10,285.2,24.6,10,11.2,Clear,Clear conditions throughout the day.
146,Ettifaq FC,Al-Fayha FC,Prince Mohamed bin Fahd Stadium,21,10,6,3230,4,4,14,1,2,4,10,3,6,20,2,10,2018,Saturday,24,5,17.9,26.1,9.9,27,9.9,29.2,0,,9.6,219,19,8,13.1,Clear,Clear conditions throughout the day.
154,Al-Fateh,Al-Fayha FC,Prince Abdullah bin Jalawi Stadium,23,5,7,1831,4,3,13,3,2,4,11,4,4,25,3,1,2018,Thursday,13,6,20.8,26.3,15.9,27,15.9,63,0,,8.8,230.8,19.9,8,31.7,Clear,Clear conditions throughout the day.
166,Al-Shabab Club (Riyadh),Al-Fayha FC,Prince Faisal bin Fahad Stadium,24,9,7,1440,4,6,18,2,2,5,13,4,6,30,3,10,2018,Saturday,22,6,26.3,31.5,19,34,19,14,0,,8.9,291.4,25.2,10,27.7,Clear,Clear conditions throughout the day.
178,Al-Batin FC,Al-Fayha FC,Al-Batin Club Stadium,26,11,8,832,2,6,15,4,2,5,13,5,6,0,4,12,2018,Thursday,26,7,26.4,30.6,22,32,22,39.2,0,,2.4,313.8,26.8,10,44.6,Clear,Clear conditions throughout the day.
5,Al-Shabab Club (Riyadh),Ohod Al-Medina,Prince Faisal bin Fahad Stadium,1,8,7,1034,0,0,0,0,0,0,0,0,6,10,8,12,2017,Saturday,20,11,33.9,40,27.2,43,28.8,10.9,0,,10,331.2,28.7,10,18.4,Clear,Clear conditions throughout the day.
10,Al-Batin FC,Ohod Al-Medina,Al-Batin Club Stadium,2,1,10,3967,0,0,0,0,1,0,2,0,6,15,8,18,2017,Friday,26,11,40.3,47.1,33.5,47.1,33,21.9,0,,9.8,289.2,24.9,9,18.4,Partially cloudy,Clearing in the afternoon.
19,Al-Hilal Saudi FC,Ohod Al-Medina,Prince Faisal bin Fahad Stadium,3,2,11,4479,1,0,2,0,1,1,2,0,7,25,9,16,2017,Saturday,25,12,30.9,36.8,24.9,40.1,24.9,10.2,0,,10,298.1,25.8,10,14.8,Clear,Clear conditions throughout the day.
30,Al-Fayha FC,Ohod Al-Medina,King Salman Bin Abdulaziz Sport City Stadium,5,11,13,930,0,1,3,1,1,2,2,0,5,30,9,29,2017,Friday,9,1,27.7,34.5,21.7,37.6,21.7,12.9,0,,,278.6,24.1,9,16.9,Partially cloudy,Partly cloudy throughout the day.
36,Al-Ittihad Club (Jeddah),Ohod Al-Medina,King Abdullah Sports City,6,7,12,7118,0,1,2,1,1,3,2,0,7,0,10,13,2017,Friday,23,1,35.5,40.1,30.4,36.2,27.3,64.3,0,,9.8,166.4,14.3,6,25.9,Clear,Clear conditions throughout the day.
